team,team_code,association,team_rank,previous_rank
Suriname,SUR,CONCACAF,139,143
St Kitts and Nevis,SKN,CONCACAF,140,140
Burundi,BDI,CAF,141,141
Nicaragua,NCA,CONCACAF,142,139
Eswatini,SWZ,CAF,143,144
Lithuania,LTU,UEFA,144,142
Hong Kong,HKG,AFC,145,147
Malaysia,MAS,AFC,146,148
Lesotho,LES,CAF,147,145
Botswana,BOT,CAF,148,146
Kuwait,KUW,AFC,149,149
Liberia,LBR,CAF,150,150
Andorra,AND,UEFA,151,152
Indonesia,IDN,AFC,152,155
Dominican Republic,DOM,CONCACAF,153,151
Maldives,MDV,AFC,154,156
Yemen,YEM,AFC,155,153
Afghanistan,AFG,AFC,156,154
Chinese Taipei,TPE,AFC,157,157
Myanmar,MYA,AFC,158,158
Papua New Guinea,PNG,OFC,159,161
Singapore,SGP,AFC,160,159
New Caledonia,NCL,OFC,161,160
Tahiti,TAH,OFC,162,162
Fiji,FIJ,OFC,163,163
Vanuatu,VAN,OFC,164,164
South Sudan,SSD,CAF,165,165
Barbados,BRB,CONCACAF,166,166
Cuba,CUB,CONCACAF,167,167
Malta,MLT,UEFA,168,169
Bermuda,BER,CONCACAF,169,168
Puerto Rico,PUR,CONCACAF,170,170
Guyana,GUY,CONCACAF,171,172
St Lucia,LCA,CONCACAF,172,173
Grenada,GRN,CONCACAF,173,171
Moldova,MDA,UEFA,174,177
Nepal,NEP,AFC,175,176
Belize,BLZ,CONCACAF,176,175
Cambodia,CAM,AFC,177,174
St Vincent and the Grenadines,VIN,CONCACAF,178,179
Montserrat,MSR,CONCACAF,179,178
Mauritius,MRI,CAF,180,180
Chad,CHA,CAF,181,181
Macau,MAC,AFC,182,182
Mongolia,MNG,AFC,183,184
Dominica,DMA,CONCACAF,184,185
Bhutan,BHU,AFC,185,186
São Tomé and Príncipe,STP,CAF,186,187
Laos,LAO,AFC,187,183
American Samoa,ASA,OFC,188,188
Cook Islands,COK,OFC,189,189
Brunei Darussalam,BRU,AFC,190,190
Samoa,SAM,OFC,191,191
Bangladesh,BAN,AFC,192,192
Djibouti,DJI,CAF,193,193
Pakistan,PAK,AFC,194,195
Cayman Islands,CAY,CONCACAF,195,196
Liechtenstein,LIE,UEFA,196,194
Tonga,TGA,OFC,197,197
Timor-Leste,TLS,AFC,198,199
Seychelles,SEY,CAF,199,198
Eritrea,ERI,CAF,200,201
Aruba,ARU,CONCACAF,201,202
Bahamas,BAH,CONCACAF,202,203
Somalia,SOM,CAF,203,204
Gibraltar,GIB,UEFA,204,200
Guam,GUM,AFC,205,205
Turks and Caicos Islands,TCA,CONCACAF,206,206
Sri Lanka,SRI,AFC,207,207
US Virgin Islands,VIR,CONCACAF,208,208
British Virgin Islands,VGB,CONCACAF,209,209
Anguilla,AIA,CONCACAF,210,210
San Marino,SMR,UEFA,211,211
